LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
Chaudière-Sud;G0N;20219;28581;0,41;40485;52079;0,29;47910;66998;0,4
Chelsea;J9B;45518;56164;0,23;95718;116553;0,22;109916;136909;0,25
Chibougamau;G8P;27636;39274;0,42;58427;72009;0,23;70915;89984;0,27
Chicoutimi;G7G;24551;33812;0,38;53499;64030;0,2;61187;79439;0,3
Chicoutimi;G7H;21849;31662;0,45;42501;51598;0,21;60453;79132;0,31
Chicoutimi;G7J;21404;31300;0,46;43185;53760;0,24;56333;74094;0,32
Chicoutimi;G7K;23986;37043;0,54;39369;55872;0,42;44947;67072;0,49
Chomedey;H7S;24928;29068;0,17;46894;55445;0,18;59216;71936;0,21
Chomedey;H7T;25016;31993;0,28;54932;67994;0,24;65310;81421;0,25
Chomedey;H7V;19739;23262;0,18;36098;43574;0,21;45413;58939;0,3
Chomedey;H7W;20152;25969;0,29;45493;57009;0,25;54434;69047;0,27
Châteauguay;J6J;26748;32338;0,21;53078;63469;0,2;64725;79913;0,23
Châteauguay;J6K;26888;33621;0,25;55901;68898;0,23;64334;80987;0,26
Clermont;G4A;22647;32256;0,42;45439;55040;0,21;58448;70034;0,2
Coaticook;J1A;17869;29700;0,66;42549;51503;0,21;53060;67513;0,27
Complexe Desjardins;H5B;-;-;-;-;-;-;-;-;-
Cowansville;J2K;23337;29828;0,28;43418;51991;0,2;56148;68855;0,23
Côte-Nord/Anticosti;G0G;23623;36937;0,56;54217;79744;0,47;60004;93184;0,55
Côte-Saint-Luc;H4V;20467;25986;0,27;38145;48530;0,27;47920;64970;0,36
Côte-Saint-Luc;H4W;24898;30990;0,24;47512;60422;0,27;63740;79904;0,25
Côte-des-Neiges;H3S;15879;22189;0,4;29718;41164;0,39;37998;55627;0,46
Côte-des-Neiges;H3T;17797;20269;0,14;31000;34901;0,13;43034;57696;0,34
Côte-des-Neiges;H3V;22995;25760;0,12;36055;41389;0,15;47639;55296;0,16
Côte-des-Neiges;H3W;17056;23068;0,35;33820;46200;0,37;42232;58533;0,39
Delson;J5B;31519;38896;0,23;63927;80841;0,26;71645;92570;0,29
Dolbeau-Mistassini;G8L;21492;29881;0,39;41285;52760;0,28;53167;69783;0,31
Dollard-Des-Ormeaux;H9A;26013;32811;0,26;70131;88937;0,27;81712;104226;0,28
Dollard-Des-Ormeaux;H9B;23463;29673;0,26;56549;70665;0,25;65596;83467;0,27
Dollard-Des-Ormeaux;H9G;26819;33346;0,24;68623;79603;0,16;78223;92877;0,19
Donnacona;G3M;22598;33629;0,49;43428;55776;0,28;58284;77141;0,32
Dorval;H4Y;-;-;-;-;-;-;-;-;-
Dorval;H9P;26758;33625;0,26;56277;72229;0,28;64916;85376;0,32
Drummondville;J2A;21987;34878;0,59;53233;67395;0,27;58811;78268;0,33
Drummondville;J2B;21189;28306;0,34;35525;46127;0,3;48173;65274;0,35
Drummondville;J2C;24374;30630;0,26;40868;48811;0,19;55150;71408;0,29
Drummondville;J2E;28809;32107;0,11;49193;56864;0,16;58648;69961;0,19
Duberger-Les Saules;G1P;23528;33605;0,43;43043;54701;0,27;55124;74089;0,34
Duvernay;H7E;30017;38840;0,29;64683;83328;0,29;75358;100155;0,33
Duvernay-Est;H7A;26349;35973;0,37;60036;80938;0,35;64409;89048;0,38
Dégelis;G5T;20933;28053;0,34;40360;46362;0,15;48463;64811;0,34
Estrie-Est;J0B;22786;30587;0,34;43921;56955;0,3;52053;70886;0,36
Estrie-Ouest;J0E;24086;32262;0,34;47656;60386;0,27;56847;74516;0,31
Fabreville;H7P;28534;36332;0,27;63660;80469;0,26;71011;91287;0,29
Farnham;J2N;22410;30455;0,36;42665;52527;0,23;49118;69419;0,41
Gaspé;G4X;21822;33116;0,52;44266;59819;0,35;51914;77804;0,5
Gaspésie-Nord;G0E;18536;24237;0,31;35520;45491;0,28;43098;59712;0,39
Gaspésie-Ouest;G0J;17513;25583;0,46;35533;46158;0,3;43465;60445;0,39
Gaspésie-Sud;G0C;19096;27564;0,44;38690;50398;0,3;47426;66525;0,4
Gatineau;J8P;26581;35012;0,32;51968;61635;0,19;63464;77946;0,23
Gatineau;J8R;38682;46523;0,2;77855;92935;0,19;84116;104905;0,25
Gatineau;J8T;26218;33649;0,28;50406;58064;0,15;62901;78107;0,24
Gatineau;J8V;39280;50878;0,3;80299;103690;0,29;89043;118827;0,33
Granby;J2G;22075;26240;0,19;38621;40840;0,06;53319;60039;0,13
Granby;J2H;31465;39156;0,24;65808;77394;0,18;72450;88783;0,23
Granby;J2J;24346;31954;0,31;45210;54943;0,22;53277;70936;0,33
Grand-Mère;G9T;19951;27704;0,39;36290;45461;0,25;48975;63311;0,29
Greenfield Park;J4V;24980;31509;0,26;48973;60952;0,24;63735;77440;0,22
Griffintown;H3C;39637;51548;0,3;66331;75414;0,14;91030;106894;0,17
Hampstead;H3X;26129;31931;0,22;47715;59209;0,24;66638;83863;0,26
Hochelaga;H1W;18570;26163;0,41;30388;41695;0,37;40934;61637;0,51
Hull;J8X;19979;24957;0,25;33563;39366;0,17;42979;55475;0,29
Hull;J8Y;26006;30289;0,16;42052;46733;0,11;56619;69707;0,23
Hull;J8Z;31218;37178;0,19;52329;57835;0,11;70117;84322;0,2
Hull;J9A;42024;47808;0,14;69307;80520;0,16;86585;103981;0,2
Hébertville;G8N;20659;31303;0,52;41349;54997;0,33;49418;71296;0,44
Jean-Talon;G1G;27151;38275;0,41;54826;68161;0,24;65672;84833;0,29
Jean-Talon;G2M;32113;44304;0,38;61024;82517;0,35;70100;95378;0,36
Joliette;J6E;22514;29401;0,31;39198;49032;0,25;53023;69637;0,31
Jonquière;G7S;29150;40185;0,38;56175;71778;0,28;67891;88265;0,3
Jonquière;G7T;-;47008;-;-;88832;-;-;102144;-
Jonquière;G7X;20095;28673;0,43;38168;47842;0,25;52339;67358;0,29
Jonquière;G7Y;17727;34475;0,94;36013;65280;0,81;40140;76544;0,91
Jonquière;G7Z;28578;40640;0,42;63908;81920;0,28;67898;93594;0,38
Jonquière;G8A;21399;31590;0,48;41920;57408;0,37;55442;74938;0,35
Kirkland;H9J;30001;36231;0,21;79301;95988;0,21;87853;107154;0,22
L'Assomption;J5W;29345;37233;0,27;58238;73897;0,27;66156;87016;0,32
L'Épiphanie;J5X;22482;32533;0,45;47918;63392;0,32;55128;76032;0,38
L'Érable;G0Y;21020;28570;0,36;41896;52352;0,25;48412;64567;0,33
L'Île-Bizard;H9C;31926;40594;0,27;85064;102596;0,21;94462;116537;0,23
