LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
Saint-Jérôme;J7Z;21211;26455;0,25;36465;43734;0,2;49138;62895;0,28
Saint-Lambert;J4P;31284;41912;0,34;50937;65328;0,28;79975;108474;0,36
Saint-Lambert;J4R;28429;38869;0,37;47013;62694;0,33;71577;100980;0,41
Saint-Lambert;J4S;38867;46323;0,19;65516;73879;0,13;89119;110080;0,24
Saint-Laurent;H4L;19619;24720;0,26;40912;52837;0,29;51645;63544;0,23
Saint-Laurent;H4M;22924;29296;0,28;53860;65390;0,21;63420;79360;0,25
Saint-Laurent;H4N;16408;22723;0,38;32285;46514;0,44;38493;55120;0,43
Saint-Laurent;H4R;26377;36040;0,37;53235;74406;0,4;69131;92221;0,33
Saint-Laurent;H4S;31767;43520;0,37;75360;93696;0,24;83134;116736;0,4
Saint-Laurent;H4T;-;-;-;-;-;-;-;-;-
Saint-Lin-Laurentides;J5M;21696;31374;0,45;46516;61619;0,32;50988;71135;0,4
Saint-Luc;J2W;32494;41597;0,28;70175;85903;0,22;76055;97849;0,29
Saint-Léonard;H1P;22149;27557;0,24;43898;53637;0,22;53704;65579;0,22
Saint-Léonard;H1R;20840;26448;0,27;42361;53209;0,26;49961;63047;0,26
Saint-Léonard;H1S;20158;25924;0,29;36772;49776;0,35;45173;-;-
Saint-Michel;H1Z;17429;21258;0,22;34622;42191;0,22;40839;51580;0,26
Saint-Michel;H2A;18566;23390;0,26;34151;44054;0,29;43470;57928;0,33
Saint-Nicolas;G7A;34119;46730;0,37;71739;93613;0,3;79385;108739;0,37
Saint-Prime;G8J;24151;31159;0,29;49939;61166;0,22;57711;76402;0,32
Saint-Raymond;G3L;21455;32680;0,52;39358;58509;0,49;52320;76860;0,47
Saint-Roch;G1K;18247;27984;0,53;27027;38763;0,43;44167;64055;0,45
Saint-Sacrement;G1S;31043;42259;0,36;48261;61126;0,27;76846;99637;0,3
Saint-Sauveur;G1N;17785;26307;0,48;25737;37908;0,47;37705;57408;0,52
Saint-Vincent-de-Paul;H7C;26411;32495;0,23;45395;56855;0,25;58502;76928;0,31
Saint-Élie-d'Orford;J1R;31063;39615;0,28;63505;78276;0,23;68155;88280;0,3
Saint-Émile;G3E;32177;43645;0,36;66083;87879;0,33;72045;100081;0,39
Sainte-Adèle;J8B;23806;31240;0,31;45146;54127;0,2;57161;74937;0,31
Sainte-Agathe-des-Monts;J8C;21589;26779;0,24;38731;45568;0,18;50119;63782;0,27
Sainte-Anne-de-Bellevue;H9X;32123;38865;0,21;72403;89710;0,24;89480;119296;0,33
Sainte-Anne-des-Monts;G4V;17085;25362;0,48;31986;45722;0,43;41907;61158;0,46
Sainte-Catherine;J5C;31460;38211;0,21;62377;76090;0,22;71411;90197;0,26
Sainte-Catherine-de-la-Jacques-Cartier;G3N;-;43603;-;-;84770;-;-;95972;-
Sainte-Dorothée;H7X;30294;37482;0,24;71977;90368;0,26;80082;101861;0,27
Sainte-Foy;G1V;23318;26664;0,14;38800;45289;0,17;58965;73079;0,24
Sainte-Foy;G1W;29805;39808;0,34;52741;65614;0,24;74345;95042;0,28
Sainte-Foy;G1X;29307;38366;0,31;48920;62075;0,27;71526;92146;0,29
Sainte-Foy;G2G;32573;42539;0,31;62084;77726;0,25;72012;94247;0,31
Sainte-Geneviève;H9H;26949;32530;0,21;57753;72728;0,26;74621;91171;0,22
Sainte-Julie;J3E;35768;45061;0,26;76876;94515;0,23;84054;109683;0,3
Sainte-Marie;G6E;26882;36162;0,35;50271;64565;0,28;63621;81478;0,28
Sainte-Rose;H7L;32898;42436;0,29;69243;92672;0,34;80569;106056;0,32
Sainte-Sophie;J5J;24784;33377;0,35;50831;66566;0,31;56963;75895;0,33
Sainte-Thérèse;J6Z;32422;41039;0,27;71488;84647;0,18;80513;100000;0,24
Sainte-Thérèse;J7A;35104;43223;0,23;88667;103424;0,17;99930;119867;0,2
Sainte-Thérèse;J7B;45393;49081;0,08;110687;131371;0,19;115846;143787;0,24
Sainte-Thérèse;J7C;32273;40287;0,25;69025;84067;0,22;76421;98755;0,29
Sainte-Thérèse;J7E;25088;32802;0,31;45817;55921;0,22;59764;74681;0,25
Sainte-Thérèse;J7G;29929;36556;0,22;62339;73206;0,17;74357;91216;0,23
Sainte-Thérèse;J7H;35510;39328;0,11;70102;81920;0,17;77293;95718;0,24
Salaberry-de-Valleyfield;J6S;20633;30688;0,49;43030;52693;0,22;58279;71698;0,23
Salaberry-de-Valleyfield;J6T;22260;29245;0,31;40440;48751;0,21;54562;68312;0,25
Salaberry-de-Valleyfield;J7X;28471;38133;0,34;53691;67677;0,26;62383;81723;0,31
Senneville;H9K;38696;38613;-;82274;100587;0,22;97076;115115;0,19
Sept-Îles;G4R;26199;36190;0,38;45992;63396;0,38;63320;92551;0,46
Sept-Îles;G4S;29941;38733;0,29;62114;75849;0,22;65330;85709;0,31
Shawinigan;G9N;17226;23020;0,34;29131;35510;0,22;42742;55494;0,3
Shawinigan;G9P;23077;32227;0,4;41778;52710;0,26;57107;71868;0,26
Shawinigan;G9R;24466;35413;0,45;53263;69248;0,3;60774;81323;0,34
Shefford;J2M;28857;39128;0,36;64123;79942;0,25;67678;89395;0,32
Sherbrooke;J1E;20847;27495;0,32;33585;44029;0,31;46529;64572;0,39
Sherbrooke;J1G;24436;30647;0,25;43198;50816;0,18;59018;73596;0,25
Sherbrooke;J1H;18070;22130;0,22;28424;34330;0,21;41636;54029;0,3
Sherbrooke;J1J;27600;35709;0,29;48652;55664;0,14;67855;87151;0,28
Sherbrooke;J1K;21252;26281;0,24;40086;49079;0,22;51559;72166;0,4
Sherbrooke;J1L;24480;31654;0,29;41391;51184;0,24;59737;70144;0,17
Sherbrooke;J1M;23111;30355;0,31;43156;51635;0,2;61682;79565;0,29
Sillery;G1T;40379;57728;0,43;88192;121856;0,38;116083;156314;0,35
Sorel-Tracy;J3P;21944;29117;0,33;42167;50230;0,19;58141;69829;0,2
Sorel-Tracy;J3R;22216;31493;0,42;40519;52913;0,31;55299;73765;0,33
St-Bruno-de-Montarville;J3V;36121;47381;0,31;77113;98521;0,28;89782;117312;0,31
Stoneham-et-Tewkesbury;G3C;-;44264;-;-;87552;-;-;101041;-
Terrebonne;J6V;34640;44838;0,29;75450;94545;0,25;81198;106478;0,31
Terrebonne;J6W;29137;35646;0,22;55826;67483;0,21;67997;84798;0,25
Terrebonne;J6X;31648;39198;0,24;71708;83256;0,16;77268;95317;0,23
Terrebonne;J6Y;31963;43267;0,35;67024;94996;0,42;72671;104821;0,44
Thetford Mines;G6G;21935;29240;0,33;37805;46954;0,24;50389;67525;0,34
Tour de la Bourse;H4Z;-;-;-;-;-;-;-;-;-
Trois-Rivières;G8Y;26693;34429;0,29;50394;59614;0,18;66223;80990;0,22
Trois-Rivières;G8Z;20000;24723;0,24;32730;38740;0,18;47518;57836;0,22
Trois-Rivières;G9A;17273;22904;0,33;27114;33413;0,23;39713;54643;0,38
Trois-Rivières;G9B;26764;38773;0,45;58931;74535;0,26;64746;88013;0,36
Trois-Rivières;G9C;34591;44331;0,28;69394;83456;0,2;71443;94123;0,32
Val-Bélair;G3J;30934;41565;0,34;61011;75894;0,24;67623;90565;0,34
Val-Bélair;G3K;30440;43620;0,43;59838;83210;0,39;67793;95552;0,41
Val-d'Or;J9P;23290;35843;0,54;42404;64600;0,52;57227;89328;0,56
Val-des-Monts;J8N;28668;41479;0,45;59511;82595;0,39;67578;96701;0,43
Vanier;G1M;22898;30393;0,33;38165;48261;0,26;50812;67328;0,33
Varennes;J3X;33465;43537;0,3;72731;90315;0,24;82052;106187;0,29
Vaudreuil-Dorion;J7T;33727;42034;0,25;78620;98387;0,25;84441;108843;0,29
Vaudreuil-Dorion;J7V;32090;39499;0,23;64676;77957;0,21;74569;93686;0,26
Vaudreuil-Soulanges;J0P;27377;36397;0,33;56971;71160;0,25;67034;86542;0,29
Verdun;H4G;18114;28566;0,58;30577;45789;0,5;39135;62020;0,58
Verdun;H4H;24358;34161;0,4;40426;56208;0,39;53554;78411;0,46
Victoriaville;G6P;22003;27116;0,23;38232;42947;0,12;52047;64277;0,23
Victoriaville;G6R;28957;37308;0,29;57015;74837;0,31;63788;83399;0,31
Victoriaville;G6S;27953;34525;0,24;53096;62746;0,18;66581;75337;0,13
Victoriaville;G6T;29573;38031;0,29;56557;73106;0,29;63127;84582;0,34
Vieux-Montréal;H2Y;44992;52750;0,17;74087;78925;0,07;95516;134315;0,41
Vieux-Québec/Haute ville;G1R;23226;34270;0,48;33726;45221;0,34;57417;81232;0,41
Ville Saint-Pierre;H8R;22240;27117;0,22;39973;48328;0,21;51116;62747;0,23
Ville Émard;H4E;20636;27377;0,33;35106;46050;0,31;45482;62668;0,38
Ville-Marie;J9V;24878;33681;0,35;43900;56491;0,29;59049;79189;0,34
Villeray;H2E;19291;24950;0,29;32276;42627;0,32;44348;59097;0,33
Villeray;H2P;22278;33046;0,48;37770;53115;0,41;52705;76442;0,45
Villeray;H2R;21848;31717;0,45;35130;50252;0,43;49519;76576;0,55
Vimont;H7M;27906;34222;0,23;57779;70997;0,23;71197;87343;0,23
Westmount;H3Y;50515;66289;0,31;172016;222037;0,29;220578;263680;0,2
Westmount;H3Z;33439;40896;0,22;56691;69514;0,23;79432;108125;0,36
Windsor;J1S;23624;32320;0,37;43897;57230;0,3;55845;72683;0,3
Ile des soeurs;H3E;44009;47941;0,09;72262;81780;0,13;102774;110763;0,08
Îles-Laval;H7Y;36876;47499;0,29;81648;106866;0,31;88906;120320;35
